storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
940126cf-93e1-40dd-acdc-b78a62b51d1c,Bill pergi berbelanja,Bill baru -baru ini bercerai dari istrinya.,Dia tidak pernah benar -benar berbelanja saat dia mengurus hal -hal itu.,Bill tidak tahu harus mulai dari mana.,Dia sedikit gugup mengambil apa yang dia butuhkan dan tidak.,Bill menaklukkan ketakutannya dan pergi ke toko untuk membeli apa yang dia butuhkan.
596181d6-c996-4c16-9ebc-a51da10f3b02,Tom dan Melissa,Tom dan Melissa adalah pasangan yang sudah menikah.,Mereka sangat menginginkan seorang anak tetapi tidak bisa hamil.,Mereka memutuskan ingin mengadopsi bayi.,Tom dan Melissa melakukan perjalanan ke Estonia untuk mengadopsi bayi perempuan.,"Mereka membawa pulang putri mereka, Angela."
6612e714-20cf-45e6-9198-e41d8080ac4c,Marcus bertemu seseorang,Marcus selalu khawatir bahwa dia akan melajang seumur hidup.,Dia ingin bertemu dengan pacar tetapi tidak berhasil.,Suatu hari Marcus bertemu dengan seorang gadis yang baik di toko kelontong.,Mereka mulai berkencan minggu itu.,Marcus senang bahwa dia tidak lagi lajang.
98658d16-eed0-4b86-9c51-10b1162a01bb,Pria yang lebih tua,Maria jatuh cinta dengan seorang pria.,Namun dia jauh lebih tua darinya.,Orang tuanya tidak menyetujui hubungan seperti itu.,Maria pergi dengan hatinya.,Dan akhirnya hidup untuk menikahi pria ini.
e771dc12-674d-440b-918f-e4b5690f79a6,Tiffany,Tiffany berkencan dengan pengedar narkoba.,Pengedar narkoba menggunakan Tiffany sebagai pion dalam rencananya.,Mereka berdua akhirnya ditangkap karena terlibat dalam kejahatan.,Pengedar narkoba dijatuhi hukuman 30 tahun penjara.,Tiffany dijatuhi hukuman 15 tahun sebagai kaki tangan.
bd5c9735-1496-4ac0-b1ec-c7858f72262b,Stan,Stan kesepian dan menginginkan seorang teman.,Dia memutuskan untuk online untuk melihat apakah dia bisa menemukannya.,"Setelah memasuki beberapa ruang obrolan, dia akhirnya menemukan seseorang yang disukainya.",Namanya Mary dan dia tampak sangat baik ketika mereka bertemu.,Mereka sangat menyukai satu sama lain dan akhirnya berkencan.
9ac07bfe-5dfe-4614-8474-dec4b299914a,Usul,John dan Cathy telah berkencan selama 2 tahun.,Mereka sangat mencintai satu sama lain.,John memutuskan dia ingin menikah dengan Cathy.,Dia membeli cincin pertunangan berlian.,Cathy menjawab ya ketika John memintanya untuk menikah dengannya.
73359cc1-5ca5-4f59-92b5-333ccf0656b0,Gaun pengantin,Mary akan menikah dengan Tom.,Dia tidak mampu membeli gaun pengantin.,Dia membeli mesin jahit dan kain putih.,Dia menjahit gaun pengantinnya sendiri.,Tom memberi tahu Mary bahwa dia terlihat cantik dalam gaun pengantinnya.
4104ca25-e7c5-42c7-8e7e-4d578a0a22b0,Betty,Teman baik putri saya Betty tinggal di San Diego.,Dia telah berkencan dengan seorang pria di sana selama tiga tahun.,Mereka hidup bersama dan bertunangan.,Minggu lalu dia menemukan dia berselingkuh.,Dia mengusirnya dan mengembalikan cincin itu.
b42700a3-a6f2-4b56-aeaa-59b8758070f4,Stepparent Blues,Orang tua Robbie bercerai.,Dia tidak menyukai pacar ibunya.,"Ketika mereka mengumumkan akan menikah, Robbie kesal.",Ibunya pergi dengan pernikahan itu.,"Setelah pernikahan, dia meyakinkan ayahnya untuk membiarkannya pindah bersamanya."
0ac751b6-4174-4d17-aaa9-3a0be8e94919,Akhir pernikahan,Georgia akhirnya menerima fakta bahwa pernikahannya tidak akan membaik.,Dia memberi tahu David bahwa dia ingin bercerai.,"David agak sedih, tetapi dia juga merasa lega.",David sudah lama bosan dengan pernikahan itu.,"Sekarang, mereka berdua bebas untuk melanjutkan hidup mereka."
ebe6a1b7-21a5-467f-931f-9f3999f1b191,Anak anjing muda,Barry baru -baru ini kehilangan anjingnya karena kecelakaan tragis.,Rekan kerja Barry tahu betapa patah hati dia karena kehilangan itu.,"Ketika Barry mulai bekerja, dia melihat sebuah item bergerak di dalam kotak di mejanya.",Barry menangis ketika dia melihat anak anjing muda yang baru.,Barry begitu tersentuh oleh gerakan yang diperluas kepadanya oleh para rekan kerja.
5562f5e7-03be-4cc3-b154-ed5810cfcfad,"Akhirnya, tanggal pernikahan ditetapkan",Crystal dan Fred telah bertunangan selama tujuh tahun.,Mereka akhirnya menetapkan tanggal pernikahan untuk musim panas mendatang.,Orang -orang mulai bertanya -tanya apakah mereka akan menikah.,Crystal mengatakan dia tidak akan menikah sampai dia baik dan siap.,Keluarga dan teman -teman mereka menantikan pernikahan.
fc9816ea-e993-43f7-822e-97baf6578f13,Saya akan melakukan x hanya untuk y bersamanya,Jordan pergi ke Burger Joint favoritnya.,Dia memberi perintah biasa kepada seorang wanita yang menarik dengan rambut pirang panjang.,"Ketika dia makan burgernya, dia menemukan untaian rambutnya di dalamnya!","Alih -alih merasa jijik, dia agak dihidupkan.","Dia memintanya berkencan, dan akhirnya mereka menikah."
50e021fe-50b9-47e8-979b-20ea6ec3edf3,Gila untuk gadis ini,Bill dan Tonya baru saja mulai berkencan.,"Dia telah bertindak sangat posesif pada waktu, tetapi Bill menerimanya.","Segera, dia mulai mengisolasi tagihan dari teman dan keluarganya.",Dia telah mengubah tagihan menjadi penuh pertapa!,"Meskipun dia mencintainya, dia segera memutuskannya."
46362220-91e0-4fe8-91c8-e58f79b5ed00,Mulai terlambat.,Mary terlambat.,Dia memutuskan untuk mengambil jalan pintas ke tempat kerja.,Dia mengambil kesalahan yang salah di rutenya.,Giliran yang salah akhirnya menjadi rute yang lebih baik.,Menikah mulai bekerja lebih awal.
1e0f8a19-fc39-489b-8342-709703d95d19,Menandai patah hati,Mark sangat jatuh cinta dengan pacarnya.,Mark akan melamarnya malam ini.,Dia membawanya ke tempat terbaik di kota.,Mark berlutut dan memintanya untuk menikah dengannya.,"Dia bilang tidak, dia berhenti mencintainya berbulan -bulan yang lalu."
e05038a7-952d-4160-9929-c04ff63ea677,Boneka patch kubis,Cathy adalah kolektor rajin boneka tambalan kubis.,"Baru -baru ini, Cathy melihat boneka langka untuk dijual di eBay.","Cathy mengajukan penawaran, dan berharap dia akan memenangkan penawaran.","Namun, Cathy kehilangan tawaran dan orang lain menang.",Cathy patah hati karena dia kehilangan tawaran untuk boneka itu.
bc3204a7-31c8-4f8b-aca7-1fa240f028cf,Perpisahan,Ricky dan Fonda telah menikah selama 20 tahun.,"Akhir -akhir ini, Ricky dan Fonda belum rukun.",Ricky mengatakan kepadanya bahwa sudah waktunya bagi mereka untuk terpisah.,Dia pindah ke rumah saudara perempuannya.,Sekarang Ricky hidup sendiri dan bahagia.
40177a52-204d-418d-a9b1-6953197aec30,Tetap hangat di musim dingin Minnesota,Stacy selalu membenci suhu musim dingin dan dingin.,"Namun, karena dia menikah dengan Ron, dia akan tinggal di Minnesota.",Ron mengejutkan Stacy dengan sistem pemanas lantai baru.,Berjalan dengan boiler dan membuat lantai tetap hangat.,Stacy benar -benar terkesan dengan perbaikan rumah yang luar biasa ini.
1f8db71e-c016-47ff-ab61-ff38667f4a6b,Kencan kuliah,Kirby dan Melissa bertemu dalam kelompok roh sekolah perguruan tinggi mereka.,Mereka adalah teman baik selama beberapa bulan.,Mereka mulai mengembangkan perasaan satu sama lain.,Mereka mulai berkencan.,Mereka menikah tiga tahun kemudian.
cfd764d6-b826-460a-994c-23972a7d3f13,Stan menikah,Stan takut bahwa pada usia tuanya dia tidak akan pernah menemukan cinta.,Suatu hari seorang teman menyuruhnya mencoba acara lajang.,Stan bertemu dengan seorang wanita cantik di sana.,"Setelah berkencan selama setahun, memutuskan untuk menikah.",Stan senang bahwa dia telah menemukan cinta.
b3bf86d1-a494-4e5e-bef9-8449cf075339,Fusi,Eliza dan Tanner akan menikah.,Dia orang Cina dan dia bahasa Spanyol.,Mereka tidak dapat menyetujui jenis makanan untuk disajikan di pernikahan.,Mereka menyewa katering terkenal yang menyajikan ide cemerlang.,Mereka memutuskan untuk menyajikan tapas dan masakan fusi dim sum.
4af7d708-d555-465e-84f6-2d02b6e8da49,Perceraian,Tom dan Mary menikah satu sama lain.,Tom berselingkuh di belakang Mary.,"Suatu hari, Tom berada di kamar tidurnya dengan majikannya.",Mary pulang dan melihat mereka bersama.,Tom dan Mary bercerai segera setelah itu.
59607bc9-fe7d-4be4-bf1a-3566ecf4d6e1,Mama,Matt dan Sarah menikah hanya sebulan yang lalu.,Mereka sangat senang terbiasa dengan kehidupan pernikahan.,Setidaknya mereka bahagia sampai ibu Matt pindah.,Dia memperlakukan Matt dan Sarah sama -sama menyukai anak -anak.,Thanksgiving canggung tahun ini setelah Matt mengusirnya.
1cd1a9e9-5967-4a94-8066-419f551c3e48,Bagaimana perjalanan bertemu pacarnya,Trip suka memancing tetapi dia benci pergi sendiri.,Dia bertemu sesama nelayan di toko umpan setempat.,Mereka pergi memancing bersama dan bersenang -senang.,Trip kemudian meminta temannya untuk bertemu.,Sekarang mereka berkencan dan perjalanan tidak bisa lebih bahagia.
aeada0a0-b9de-430e-a735-46682a462f21,Kaca patri,"Sejak dia masih kecil, Julia menyukai kaca patri.",Dia membeli beberapa untuk dimasukkan ke jendela depannya.,Dia pikir itu indah!,Ada badai besar dan jendelanya hancur.,Julie patah hati!
a89f79df-70ce-4afe-8235-deae196fa7ce,Terapi pasangan,Greg menikah dengan wanita impiannya.,Tetapi setelah satu tahun mereka terus berteriak satu sama lain.,Greg mengusulkan untuk berkonsultasi dengan beberapa terapis.,Terapis pasangan membantu mereka dalam banyak sesi.,Sejak itu mereka memiliki pernikahan yang kuat dan bahagia.
3ce44d83-9a1c-49ac-a8e1-bd4f331c98bd,Kehidupan Marcy,Sahabat saya tidak sah dan ditinggalkan sebagai bayi.,Dia tumbuh tunawisma dan jatuh ke dalam pelacuran di usia muda.,"Ketika dia berusia 25 tahun, Marcy bertemu Tom, seorang dokter.","Tom membayar jalan Marcy melalui sekolah perawat, dan dia menjadi RN.","Marcy sekarang menjadi perawat yang menikah dengan seorang dokter, dengan rumah yang nyata."
3a7d2bf7-bbc5-4154-9adb-6ced0c6df9bd,Vas,Sebuah vas yang kosong di atas meja Bonnie.,Tidak pernah ada apa pun di dalamnya.,Bonnie menikah dengan Josh.,"Ketika mereka pulang dari bulan madu mereka, Josh memasukkan bunga ke dalam vas.",Dia bilang dia akan selalu menyimpannya dengan bunga untuknya.
6a694d01-d68b-499e-bf7b-b09372947fd2,Akhirnya,Carol sudah lajang untuk waktu yang lama.,Dia pergi berkencan buta tetapi tidak pernah terhubung dengan siapa pun.,Teman -temannya menyarankan dia mencoba kencan online.,Dia membuat profil di situs kencan dan segera mendengar dari Vincent.,"Mereka sudah bersama 8 tahun sekarang, dan dia senang dia mengambil kesempatan."
8a579444-7477-469e-8d1f-8917c60520ec,Selesai dengan kencan,Brianna selalu mencari pria yang tepat.,Dia mengajak semua orang yang dia sukai.,Tapi mereka semua menolaknya.,Brianna menyerah dalam kencan.,Sekarang dia hanya menunggu orang lain mengajaknya kencan.
4d3bebbb-5ed6-4051-99bb-dbe581091b78,Perceraian,Tom dan Linda telah dipisahkan selama berbulan -bulan.,Linda memutuskan sudah waktunya untuk bercerai.,Tom mengambil berita buruk.,Dia memusnahkan rekening banknya dan melarikan diri ke Meksiko.,Linda menyesal pernah menikahinya.
2375626f-301b-4f37-92d9-58ce4a8cf88f,Pernikahan di Minnesota,Maria membenci cuaca dingin.,"Pekerjaannya memindahkannya ke Cold Minneapolis yang pahit, Minnesota.","Rekannya yang tampan, Sven memperkenalkannya untuk bermain ski dan memancing es.",Mereka bersenang -senang bersama sehingga mereka berkencan dan menikah.,Sekarang cuaca dingin di Minnesota tampaknya tidak terlalu buruk bagi Maria.
938f5b84-aeb4-4d68-bace-6799c321d4a8,Lonnie mencintai Lorrie,Lonnie naksir Lorrie terbesar.,Lorrie tidak tahu saat itu.,Suatu hari Lonnie mendapat keberanian untuk mengajaknya kencan.,Lonnie bertanya dan dia berkata tentu saja.,Keduanya menjadi teman baik dan menikah satu sama lain.
e8a00549-9f9b-470b-b81c-005148bfaf65,Keith sedih.,Keith dan istrinya selama tiga tahun bercerai.,Keith sengsara dan hanya bisa memikirkan istrinya.,Pikiran bergegas di kepalanya ketika dia memikirkan apa yang perlu dia lakukan.,Untuk membuat segalanya bekerja antara dia dan kekasihnya.,Keith berbaring dan tidur dan menangis dia sangat sedih.
47ce689c-2194-44b6-84f6-3ea66dca7a28,Kematian legendaris,Cathy adalah penggemar terbesar Pangeran.,Cathy sangat sedih melihat berita bahwa dia meninggal.,Cathy memutuskan dia akan pergi ke toko rekaman dan mendapatkan musiknya.,"Namun, di toko rekaman, mereka terjual habis dari musiknya.",Cathy bahkan lebih patah hati bahwa dia tidak bisa membeli musiknya.
276b295d-f302-4c4b-a5fd-9661119f8279,Blues sepak bola,Cathy mendaftarkan putrinya ke liga sepak bola.,Cathy suka menonton putrinya memainkan permainan sepak bola.,"Namun, putri Cathy tidak suka bermain sepak bola.",Putri Cathy memutuskan dia tidak ingin bermain sepak bola lagi.,Cathy patah hati karena dia tidak akan melihat putrinya bermain sepak bola.
5a395069-8fd6-4478-86a5-b4f13d6f40ac,Bridal Shower,Brooke akan menikah.,Teman -temannya memutuskan untuk melemparkan kejutan bridal shower.,Semua orang menunggunya berjalan melewati pintu.,Wajahnya sangat terkejut ketika dia berjalan melewati pintu.,Dia sangat senang memiliki kejutan bridal shower di tempat kerja.
8b935e8f-7c3a-44df-bcc1-604996f3321c,Hadiah,"Carl baru saja menikah dengan kekasih kuliahnya, Mary.",Carl tidak punya banyak uang tetapi ingin memberi Mary sesuatu yang istimewa.,Carl diam -diam mulai bekerja sebagai pekerjaan kedua untuk menghasilkan uang ekstra.,"Setelah satu tahun kerja keras, dia merasa siap untuk memberikan hadiahnya kepada Mary.","Ketika Mary melihat hadiah Carl, dan belajar apa yang dia lakukan, dia menangis."
ef340121-1ab8-45a8-96ab-08424e73a229,Makan siang reuni,Saya makan siang dengan dua teman sekolah menengah saya di bulan Februari.,Kami lulus pada tahun 1971.,Salah satu teman saya memberi tahu saya bahwa istrinya baru saja meninggalkannya.,"Mereka menikah selama 18 tahun, dan dia hancur.",Nada makan siang itu menyedihkan.
42d1ed7d-2d66-479e-bd87-bbaa2723bbc5,Pembohong,Lisa bertemu dengan seorang teman baru di taman.,"Pada awalnya, dia pikir dia adalah gadis yang hebat.",Tetapi segera dia menyadari bahwa dia berbohong terus -menerus.,Dia bahkan berbohong tentang menikah!,Lisa menghindari gadis itu saat berikutnya dia melihatnya.
45c1be6f-911d-4697-ab0f-d7ecd522928e,Lakukan di pantai,"Tom mengenakan T-shirt yang paling sedikit bernoda, menyelipkannya di bawah usus besarnya.","Dia dalam suasana hati yang riang, katanya pada dirinya sendiri.",Tom hanya harus berteriak pada pacarnya dua kali dalam perjalanan ke pantai.,Dia menyebarkan selimut compang -camping yang biasanya digunakan anjing di atas pasir.,"Selesai mengoming wanitanya, Tom memintanya untuk menikah dengannya."
07f68541-cc16-49cc-aa6b-146bb3e611f8,Hamil!,Kay dan Mike telah menikah selama satu dekade.,Mereka benar -benar menginginkan anak -anak tetapi tidak dapat melakukannya.,"Mereka mencoba banyak metode dan perawatan yang berbeda, tetapi tidak berhasil.","Namun kemarin, Mike pulang kerja dan bertemu dengan beberapa berita.",Kay akhirnya hamil!
929ae416-74ee-467d-8a2a-25c7f3bf718d,Sedang jatuh cinta,Charlie bertemu dengan pria yang hebat.,Namanya Hank.,Charlie dan Hank pergi tiga kencan.,Hubungan mereka tampak hebat.,Jadi mereka lari dan menikah!
4b19e3f8-38d9-4e79-8c35-0f2f48973e7c,Usul,Jack tahu bahwa Gloria adalah wanita yang sempurna untuknya.,Dia pergi ke toko perhiasan dan membeli cincin berlian.,"Pada tanggal berikutnya, dia berlutut dan melamar.","Gloria segera mengatakan ya, mengetahui bahwa Jack juga belahan jiwanya.",Keduanya menikah hanya beberapa minggu kemudian!
c30cdac6-f6fe-4f76-8fb5-1bb10a0fc033,Brad dibuang,Brad sangat mencintai pacarnya.,Brad telah berkencan dengannya selama bertahun -tahun.,Suatu hari Brad datang ke rumahnya.,Dia mengetuk pintu dengan bunga.,Dia menjawab pintu dan mengatakan kepadanya bahwa ini sudah berakhir.
6de0f685-845a-4c0b-95c1-6ce4bf878643,Polyamorous,"Ketika orang gay mencoba mendapatkan hak untuk menikah, saya mendukung mereka.",Tetapi mereka mengatakan bahwa pernikahan mereka tidak akan mengarah pada yang polyamorous.,Saya merasa mereka sama fanatiknya dengan mereka yang membenci pernikahan gay.,Saya tidak tahu apakah saya pernah menikah dengan pacar saya.,Tetapi tidak memiliki pilihan dan dilihat sebagai lebih rendah tidak menyakitkan.
5fc1b12c-b078-4832-869c-70964275149f,Mediasi yang berhasil untuk hak asuh anak bersama,Kathy dan Bob memutuskan sudah waktunya untuk bercerai.,"Mereka tidak setuju tentang berbagi hak asuh anak putra mereka, Don.",Keduanya mencari layanan mediasi sehingga mereka dapat menyelesaikan masalah ini.,"Mereka bernegosiasi, memutuskan Don akan tinggal dengan Bob tiga hari per minggu.",Situasinya memuaskan bagi semua orang yang bersangkutan.
39e216db-1ab0-4740-8d37-0878a8170b6a,Lauren membeli blus,Lauren memperhatikan bahwa pakaian kerjanya menjadi tertanggal.,Sudah waktunya baginya untuk memperbarui pakaiannya.,Lauren pergi ke mal untuk membeli blus baru.,Dia menemukan satu yang tampak luar biasa padanya.,Lauren senang membeli pakaian kerja baru.
b3d9471e-9c9e-4eb5-84da-4ed3d4a81fc6,Layak untuk ditunggu,Donna ingin menikah.,Dia telah menunggu selama tiga tahun bagi pacarnya.,Dia memutuskan untuk putus dengannya.,Pacar Donna sedih dan akhirnya memintanya untuk menikah dengannya.,Sekarang mereka sudah menikah selama tiga puluh tahun!
a6ed4396-93e5-46e3-ae0e-598a0f556f45,Ibu muda,Nicole bertemu pacarnya saat mereka masih di sekolah menengah.,"Setelah beberapa bulan berkencan, Nicole hamil.",Nicole dan pacarnya tidak tahu apa yang harus dilakukan tentang bayi itu.,Nicole memutuskan untuk menjaga bayinya.,Nicole menjadi ibu remaja.
2d0d5096-b8c7-4c26-be91-a2229c2ca03e,Jeff mabuk,Jeff sedang mengalami perceraian yang buruk.,Dia mendapati dirinya di bar lokal.,Dia bersumpah dia akan tetap sadar apa pun yang terjadi.,30 menit di sana suasana hatinya berubah dan minum.,Pada akhir malam Jeff sangat mabuk sehingga dia ditendang keluar dari bar.
3a861030-bc5f-4238-b3e1-9fb05229f70b,Rob dan Janey,Rob bergabung dengan gym.,Dia mulai berjalan begitu teratur sehingga dia berteman.,Dia bertemu seorang gadis di sana bernama Janey.,Janey dan Rob mulai berkencan.,"Dua tahun kemudian, mereka menikah."
7dac99a9-75b1-40bf-92d1-25814e1bf403,Kisah Cinta Perang Dunia II,Kakek -nenek saya bertemu selama Perang Dunia II ketika mereka melayani di Angkatan Laut.,"Mereka bertemu di bioskop di Washington, DC.","Sebuah film yang menyedihkan membuat nenek saya menangis, dan kakek saya memberinya tisu.",Mereka jatuh cinta dan berkorespondensi melalui surat saat dia berada di laut.,Mereka menikah dua hari setelah kapalnya kembali ke Amerika.
8054be31-19b0-4e60-801c-5a16689bcc63,Jenn dan Daisy,Jenn dan Daisy adalah teman baik.,Daisy bertunangan dengan pacarnya.,Daisy meminta Jenn untuk menjadi pelayan kehormatannya.,Mereka memilih gaun untuk dipakai Jenn bersama.,Jenn berdiri di sebelah Daisy ketika dia menikah.
c9f80a6b-5de5-441a-8011-c74b730ca0df,Saudara laki-laki,Adikku dan aku hanya tinggal di rumah yang sama sampai aku berusia 14 tahun.,Orang tua kami bercerai dan kami berpisah.,Saya telah melihatnya tentang sekali setahun sekali.,Dia tinggal enam jam dan akan membeli rumah di sana.,"Saya senang dia baik -baik saja, tetapi saya berharap saya mengenalnya lebih baik."
249a0017-dfc3-4506-823a-bf2055dbb5c0,Pertunangan Luanne,Luanne telah melajang selama bertahun -tahun.,Dia telah berkencan dengan beberapa orang yang berbeda.,Dia akhirnya menemukan pria idealnya.,Luanne dan pria ini jatuh cinta.,Dia baru -baru ini melamar Luanne dan dia menerima.
8ae15a76-6f58-48da-aa09-686afd720231,Pindah,Shelly bergerak melintasi dua negara bagian untuk bersama cinta dalam hidupnya.,"Dia bertemu dengannya secara online, di forum untuk Mturk.","Awalnya tidak ada yang mempercayai mereka, sampai mereka pindah bersama bulan lalu.",Mereka berencana untuk menikah dan memulai kehidupan baru bersama.,Mereka senang dan puas.
f0ea7069-3147-4dfc-9a99-f60d6b119339,Putus,Sarah dan Leo telah berkencan selama enam tahun.,Mereka berbagi semua teman yang sama.,Mereka putus menyebabkan ketegangan yang sangat canggung dalam kelompok.,Tidak ada yang tahu sisi siapa yang harus mereka pilih.,Untungnya dalam seminggu Sarah dan Leo kembali bersama.
1c6c3933-c25a-4a86-b46c-417d4c38b748,Kehidupan Cinta Sandy,Sandy baru -baru ini putus dengan pacarnya.,Dia merasa patah hati dan kesepian.,Dia memutuskan untuk mencoba kencan online.,Sandy memilih seorang pria online untuk berkencan dengan.,Kencan mereka berjalan dengan baik dan berbulan -bulan kemudian Sandy dan pria itu bertunangan.
9f2fa064-883d-4273-b1e3-1707fe475d8f,Perceraian,Chloe telah menikah selama beberapa tahun.,Suatu hari dia pulang kerja lebih awal.,Dia menemukan suaminya selingkuh.,Chloe sangat marah dan patah hati.,Chloe segera mengajukan perceraian.
099c487e-33d5-4d79-93a1-a67f8f9e7f1e,Jim belajar pelajaran terakhir tentang cinta,"Istri Jim sangat mencintainya, tetapi dia adalah seorang playboy.",Dia akhirnya lari dan menikah dengan wanita yang lebih muda.,"Bertahun -tahun kemudian, dia sakit kanker dan tidak bisa bekerja.","Wanita muda itu meninggalkannya, mengatakan dia tidak bisa menanganinya.","Ketika dia berbaring sekarat, itu adalah istri pertamanya yang mengunjungi dan merawatnya."
0ed793de-a43c-49b7-b3e1-7a45cdccfa0d,Pilihan Mike,Mike baru mulai berkencan lagi setelah perceraiannya.,"Dia makan malam dengan Anne, seorang wanita yang dia temui online.",Mereka membuat rencana untuk keluar lagi pada malam berikutnya.,Dia bertemu Julie di sebuah pompa bensin dan mereka bercakap -cakap.,"Dia menelepon Anne dan meminta maaf, menambahkan bahwa dia telah bertemu orang lain."
